工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
2022届校招-Python开发工程师,北京·朝阳区·太阳宫,老虎国际,15-30K·14薪,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/3d7f204d36f8c0141nB-39q8.html
安全开发,北京·海淀区·上地,高途,20-40K·14薪,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/19e5fc4de4bb93f01nVy2d65Fls~.html
Python开发工程师,北京·石景山区·八角,光大科技,15-30K·15薪,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/c73a957986af34b31XN53Nq1EA~~.html
服务研发工程师（python）,北京·朝阳区·高碑店,掌阅科技,30-40K·14薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ed7168c0705429b1nZ-3g~~.html
系统研发工程师（python）,北京,蓝标传媒,20-30K·14薪,本科,广告营销,1-3年,https://www.zhipin.com/gongsi/703a0bc72c73dd420nZ93Nm4FA~~.html
爬虫工程师,北京,天下秀,15-26K,大专,互联网,3-5年,https://www.zhipin.com/gongsi/34c0d9f26ae125d41nx7398~.html
量化开发工程师,北京·西城区·西单,中泰证券,25-40K·16薪,硕士,互联网金融,5-10年,https://www.zhipin.com/gongsi/dd4c49c4db61b0ba1nx63tW_.html
Python开发工程师,北京·朝阳区·朝外,慧科讯业,25-50K·13薪,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/d1305df085a42bf31Xd82NS9.html
python工程师,北京·东城区·东直门,嘉和美康,18-25K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/621e45455c67ce2d1nF92to~.html
python,北京·海淀区·北太平庄,中软国际,13-25K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
后端开发工程师/免费三餐/13薪,北京·海淀区·学院路,亿达信息,12-24K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4d243a526496fe21XB_29S_.html
后端开发（Python）,北京·海淀区·中关村,小赢科技,20-25K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html
网络流量分析,北京·海淀区·双榆树,腾讯,35-65K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
分布式高级工程师,北京·朝阳区·鸟巢,京东集团,30-60K·14薪,本科,电子商务,3-5年,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html
python开发工程师,北京·朝阳区·望京,陌陌,30-55K·16薪,不限,移动互联网,经验不限学历,https://www.zhipin.com/gongsi/937794456fd77b791nd-2t-5.html
AIOps研发工程师,北京,星网锐捷,30-50K,本科,通信/网络设备,经验不限,https://www.zhipin.com/gongsi/6bbeed3ae7ef77ac1nV52du_.html
Python后端工程师,北京·朝阳区·燕莎,图森未来,15-30K,不限,互联网,3-5年学历,https://www.zhipin.com/gongsi/cc893a1a3b32699a1n1-3t-1GVI~.html
业务安全工程师（北京/广州）,北京·朝阳区·望京,BIGO,28-50K·16薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/d1539fda413000a10XB-0tW6.html
Python开发,北京·海淀区·西北旺,阳光雨露,14-22K,大专,O2O,3-5年,https://www.zhipin.com/gongsi/7e9602d1e778a2ab1HF92w~~.html
算法工程化（偏python，c++）,北京·朝阳区·望京,数坤网络科技股份...,20-40K·16薪,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/293548364dd0485f1nxz2dW1FVM~.html
后端高级/资深开发工程师—Python,北京·海淀区·知春路,神策数据,25-50K·14薪,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
Python后端开发工程师,北京,华如科技,15-22K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a1714a743b768dd80nB53d2-.html
服务端开发工程师-Python,北京·西城区·动物园,奇安信集团,18-24K·14薪,本科,信息安全,在校/应届,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
python开发工程师,北京·朝阳区·三元桥,云智慧,18-35K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f45a1058a4581c9d1XV_3Ni-Eg~~.html
Python开发工程师,北京·朝阳区·望京,开域集团,15-30K,硕士,互联网,经验不限,https://www.zhipin.com/gongsi/6ee50d1d52b62f831nx-3du_Fw~~.html
Python,北京·朝阳区·鸟巢,博彦科技,13-22K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
