374,上海腾讯云网络后台开发工程师,上海,上海·徐汇区·漕河泾,腾讯,20-40K·15薪,40,20,30.0
394,广告投放研发工程师,上海,上海·闵行区·虹桥,字节跳动,30-50K·15薪,50,30,40.0
395,工程效率研发工程师,上海,上海·浦东新区·金桥,华为,18-35K·15薪,35,18,26.5
398,后台开发工程师,上海,上海·杨浦区·五角场,字节跳动,20-40K,40,20,30.0
402,通用软件工程师,上海,上海·浦东新区·金桥,华为,30-50K,50,30,40.0
405,爬虫大数据开发,上海,上海·徐汇区·漕河泾,腾讯,30-50K·16薪,50,30,40.0
407,【校招】软件工程师,上海,上海·浦东新区·金桥,华为,15-30K·15薪,30,15,22.5
417,研发工程师-短视频-安全方向,上海,上海·闵行区·虹梅路,字节跳动,30-60K·15薪,60,30,45.0
418,工具软件开发工程师,上海,上海·浦东新区·金桥,华为,15-30K,30,15,22.5
424,软件开发工程师,上海,上海·浦东新区·金桥,华为,15-30K·14薪,30,15,22.5
425,云开发体验改进工程师,上海,上海·徐汇区·漕河泾,腾讯,20-40K,40,20,30.0
432,资深服务端研发工程师 - 短视频,上海,上海·闵行区·虹梅路,字节跳动,40-70K,70,40,55.0
435,Python开发工程师,上海,上海·浦东新区·金桥,华为,15-30K·13薪,30,15,22.5
439,Python开发工程师,上海,上海·浦东新区·金桥,华为,20-40K,40,20,30.0
442,高级后端开发工程师,上海,上海·闵行区·虹桥,字节跳动,25-50K·15薪,50,25,37.5
445,软件Python岗位,上海,上海·浦东新区·金桥,华为,25-30K·18薪,30,25,27.5
450,服务端开发工程师-番茄小说,上海,上海·闵行区·虹桥,字节跳动,30-50K·15薪,50,30,40.0
453,python,上海,上海·浦东新区·金桥,华为,20-40K·14薪,40,20,30.0
455,资深软件开发工程师-工具向,上海,上海·浦东新区·张江,字节跳动,45-75K·15薪,75,45,60.0
457,工具开发,上海,上海·浦东新区·金桥,华为,15-30K·14薪,30,15,22.5
461,集成构建,上海,上海·浦东新区·金桥,华为,15-30K·14薪,30,15,22.5
462,资深影视TD-无双,上海,上海·浦东新区·张江,字节跳动,30-50K·15薪,50,30,40.0
463,Python工程师,上海,上海·浦东新区·金桥,华为,20-40K,40,20,30.0
466,高级软件开发工程师,上海,上海·浦东新区·金桥,华为,30-50K·14薪,50,30,40.0
469,WEB后端开发工程师,上海,上海·浦东新区·金桥,华为,25-50K,50,25,37.5
471,AI工程师,上海,上海·浦东新区·金桥,华为,18-25K·14薪,25,18,21.5
473,软件工程师,上海,上海·浦东新区·金桥,华为,15-30K·14薪,30,15,22.5
474,软件工程师C/C++/python,上海,上海·浦东新区·金桥,华为,18-35K·14薪,35,18,26.5
475,软件开发工程师（Python）,上海,上海·浦东新区·金桥,华为,20-40K·13薪,40,20,30.0
476,C++/Python软件开发/测试工程师,上海,上海·浦东新区·金桥,华为,20-40K,40,20,30.0
477,软件开发工程师,上海,上海·浦东新区·金桥,华为,25-50K·13薪,50,25,37.5
478,Python,上海,上海·浦东新区·金桥,华为,15-30K·14薪,30,15,22.5
479,后端研发工程师-广州-python,广州,广州·天河区·猎德,字节跳动,20-40K,40,20,30.0
485,Python,广州,广州,华为,15-25K·14薪,25,15,20.0
