name,actor,information,date,star,evaluate,introduction
无间道2,导演: 刘伟强 / 麦兆辉   主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,,,8.7,485760人评价,
小偷家族,导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...,我们组成了家。,,8.7,818745人评价,我们组成了家。
无敌破坏王,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...,迪士尼和皮克斯拿错剧本的产物。,,8.7,546098人评价,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,,8.7,594581人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,松鼠才是角儿。,,8.6,621653人评价,松鼠才是角儿。
恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,不要企图在重复中寻找已经失去的爱。,,8.5,874391人评价,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,,8.6,751004人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,电影诗。,,8.6,581617人评价,电影诗。
牯岭街少年杀人事件,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,弱者送给弱者的一刀。,,8.9,305283人评价,弱者送给弱者的一刀。
魔女宅急便,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,,8.7,464797人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
遗愿清单,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,用剩余不多的时间，去燃烧整个生命。,,8.7,467764人评价,用剩余不多的时间，去燃烧整个生命。
东京教父,导演: 今敏 Satoshi Kon   主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,,,9.0,234586人评价,
大佛普拉斯,导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,人们可以登上月球，却永远无法探索人们内心的宇宙。,,8.7,465639人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori   主演: 山口胜平 Kappei Yamaguchi / 爱河...,感情不分食草或者食肉。,,8.9,336340人评价,感情不分食草或者食肉。
真爱至上,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...,爱，是个动词。,,8.6,736416人评价,爱，是个动词。
黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...,黑暗之美。,,8.6,785608人评价,黑暗之美。
可可西里,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,坚硬的信仰。,,8.9,306666人评价,坚硬的信仰。
城市之光,导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,永远的小人物，伟大的卓别林。,,9.3,148827人评价,永远的小人物，伟大的卓别林。
源代码,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,,8.5,842577人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,我们都有权利不与自己的过去和解。,,8.6,550007人评价,我们都有权利不与自己的过去和解。
雨人,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,,8.7,407553人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer   主演: 拉米·马雷克 Rami Malek / 本·哈...,,,8.6,612271人评价,
初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,黑小鸭速效美白记。,,8.5,986222人评价,黑小鸭速效美白记。
恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,,8.5,677930人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,对爱的执着，可以超越一切。,,8.7,451541人评价,对爱的执着，可以超越一切。
青蛇,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,,8.6,532291人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
虎口脱险,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,永远看不腻的喜剧。,,8.9,260333人评价,永远看不腻的喜剧。
终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...,少见的超越首部的续集，动作片中的经典。,,8.8,345198人评价,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,,8.7,536193人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
末路狂花,导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...,没有了退路，只好飞向自由。,,8.9,262575人评价,没有了退路，只好飞向自由。
罗生门,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 京町子 ...,人生的N种可能性。,,8.8,318220人评价,人生的N种可能性。
新龙门客栈,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,嬉笑怒骂，调风动月。,,8.7,449347人评价,嬉笑怒骂，调风动月。
萤火虫之墓,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子,幸福是生生不息，却难以触及的远。 ,,8.7,407519人评价,幸福是生生不息，却难以触及的远。
千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,一部能引人思考的科幻励志片。,,8.8,303074人评价,一部能引人思考的科幻励志片。
无耻混蛋,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ...,昆汀同学越来越变态了，比北野武还杜琪峰。,,8.7,483766人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
崖上的波妞,导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,,,8.6,504143人评价,
花束般的恋爱,导演: 土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,,,8.6,636453人评价,
彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...,小成本大魅力。,,8.6,588378人评价,小成本大魅力。
芙蓉镇,导演: 谢晋 Jin Xie   主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,,,9.3,142747人评价,
奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky   主演: 雅各布·特伦布莱 Jacob Tr...,世界不完美，爱会有奇迹。,,8.6,555282人评价,世界不完美，爱会有奇迹。
爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...,,,8.4,909787人评价,
二十二,导演: 郭柯 Ke Guo   主演:,有一些东西不应该被遗忘。,,8.7,293642人评价,有一些东西不应该被遗忘。
黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,一个精彩的世界观正在缓缓建立。,,8.7,410394人评价,一个精彩的世界观正在缓缓建立。
哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,最忠于原著的一部。,,8.5,584899人评价,最忠于原著的一部。
血钻,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...,每个美丽事物背后都是滴血的现实。,,8.7,383911人评价,每个美丽事物背后都是滴血的现实。
战争之王,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,做一颗让别人需要你的棋子。,,8.7,372718人评价,做一颗让别人需要你的棋子。
步履不停,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,,8.8,282475人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,,8.8,370611人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
火星救援,导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...,,,8.5,737683人评价,
