,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
0,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),https://movie.douban.com/subject/1292052/,9.7,2933177,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情
1,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,9.6,2166133,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性
2,阿甘正传 / Forrest Gump / 福雷斯特·冈普,https://movie.douban.com/subject/1292720/,9.5,2186656,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情
3,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),https://movie.douban.com/subject/1292722/,9.5,2219669,导演: 詹姆斯·卡梅隆 James Cameron,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难
4,这个杀手不太冷 / Léon / 终极追杀令(台)  /  杀手莱昂,https://movie.douban.com/subject/1295644/,9.4,2319035,导演: 吕克·贝松 Luc Besson,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪
5,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,https://movie.douban.com/subject/1291561/,9.4,2270176,导演: 宫崎骏 Hayao Miyazaki,主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻
6,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,https://movie.douban.com/subject/1292063/,9.6,1341163,导演: 罗伯托·贝尼尼 Roberto Benigni,主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争
7,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),https://movie.douban.com/subject/1889243/,9.4,1873900,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险
8,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,https://movie.douban.com/subject/1295124/,9.6,1119105,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争
9,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),https://movie.douban.com/subject/3541415/,9.4,2090761,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险
10,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,https://movie.douban.com/subject/1292064/,9.4,1737750,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻
11,忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),https://movie.douban.com/subject/3011091/,9.4,1412274,导演: 莱塞·霍尔斯道姆 Lasse Hallström,主演: 理查·基尔 Richard Ger...,2009,美国 英国,剧情
12,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,https://movie.douban.com/subject/1292001/,9.3,1695793,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐
13,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),https://movie.douban.com/subject/3793023/,9.2,1878506,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞
14,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,https://movie.douban.com/subject/1291549/,9.3,1327193,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,主演: 让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐
15,机器人总动员 / WALL·E / 太空奇兵·威E(港)  /  瓦力(台),https://movie.douban.com/subject/2131459/,9.3,1331498,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险
16,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),https://movie.douban.com/subject/25662329/,9.2,1966445,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,主演: 金妮弗·...,2016,美国,喜剧 动画 冒险
17,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,https://movie.douban.com/subject/1307914/,9.3,1382543,导演: 刘伟强 / 麦兆辉,主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚
18,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,https://movie.douban.com/subject/1296141/,9.6,573889,导演: 比利·怀尔德 Billy Wilder,主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑
19,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,https://movie.douban.com/subject/1292213/,9.2,1550396,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
20,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,https://movie.douban.com/subject/5912992/,9.4,941296,导演: 黄东赫 Dong-hyuk Hwang,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情
21,教父 / The Godfather / Mario Puzo's The Godfather,https://movie.douban.com/subject/1291841/,9.3,980301,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 马龙·白兰度 M...,1972,美国,剧情 犯罪
22,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),https://movie.douban.com/subject/6786002/,9.3,1131651,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情 喜剧
23,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,https://movie.douban.com/subject/1849031/,9.2,1536734,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭
24,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)  /  L'ultimo imperatore,https://movie.douban.com/subject/1293172/,9.3,898875,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
25,寻梦环游记 / Coco / 玩转极乐园(港)  /  可可夜总会(台),https://movie.douban.com/subject/20495023/,9.1,1707111,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: ...,2017,美国,喜剧 动画 奇幻 音乐
26,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,https://movie.douban.com/subject/1291560/,9.2,1280700,导演: 宫崎骏 Hayao Miyazaki,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险
27,怦然心动 / Flipped / 萌动青春  /  青春萌动,https://movie.douban.com/subject/3319755/,9.1,1854182,导演: 罗伯·莱纳 Rob Reiner,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情
28,活着 / 人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,9.3,857203,导演: 张艺谋 Yimou Zhang,主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭
29,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),https://movie.douban.com/subject/1851857/,9.2,1074907,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
30,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,https://movie.douban.com/subject/1295038/,9.2,1210455,导演: Chris Columbus,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险
31,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,https://movie.douban.com/subject/1291552/,9.3,813557,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险
32,我不是药神 / 中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,9.0,2129632,导演: 文牧野 Muye Wen,主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧
33,乱世佳人 / Gone with the Wind / 飘,https://movie.douban.com/subject/1300267/,9.3,700061,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 费...,1939,美国,剧情 历史 爱情 战争
34,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),https://movie.douban.com/subject/2129039/,9.1,1342107,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,主演: 爱德...,2009,美国,剧情 喜剧 动画 冒险
35,素媛 / 소원 / 许愿  /  希望：为爱重生(台),https://movie.douban.com/subject/21937452/,9.3,695434,导演: 李濬益 Jun-ik Lee,主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情
36,哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),https://movie.douban.com/subject/1308807/,9.1,1039910,导演: 宫崎骏 Hayao Miyazaki,主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,动画 奇幻 冒险
37,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,https://movie.douban.com/subject/1293182/,9.4,498222,导演: Sidney Lumet,主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情
38,何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),https://movie.douban.com/subject/30170448/,9.1,1056935,导演: 娜丁·拉巴基 Nadine Labaki,主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
39,摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),https://movie.douban.com/subject/26387939/,9.0,1586279,导演: 涅提·蒂瓦里 Nitesh Tiwari,主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭
40,让子弹飞 / 让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,9.0,1719604,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
41,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  捉智双雄(港),https://movie.douban.com/subject/1305487/,9.1,1042263,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情
42,天空之城 / 天空の城ラピュタ / 天空之城拉普他  /  空中城堡拉普他,https://movie.douban.com/subject/1291583/,9.2,886081,导演: 宫崎骏 Hayao Miyazaki,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险
43,鬼子来了 / Devils on the Doorstep,https://movie.douban.com/subject/1291858/,9.3,634445,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧
44,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,https://movie.douban.com/subject/1929463/,9.1,1362793,导演: 李安 Ang Lee,主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
45,海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,https://movie.douban.com/subject/25958717/,9.3,628438,导演: 阿兰·葛斯彭纳 Alain Gsponer,主演: 阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭
46,钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),https://movie.douban.com/subject/1296736/,9.3,650558,导演: 罗曼·波兰斯基 Roman Polanski,主演: 艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐
47,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,https://movie.douban.com/subject/1299398/,9.0,1234508,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
48,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,https://movie.douban.com/subject/1291572/,9.2,763260,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险
49,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,https://movie.douban.com/subject/1298624/,9.1,898165,导演: 马丁·布莱斯 Martin Brest,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情
50,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),https://movie.douban.com/subject/1293839/,9.1,959784,导演: 威廉·惠勒 William Wyler,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情
51,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),https://movie.douban.com/subject/1291548/,9.2,738213,导演: 彼得·威尔 Peter Weir,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情
52,绿皮书 / Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),https://movie.douban.com/subject/27060077/,8.9,1670540,导演: 彼得·法雷里 Peter Farrelly,主演: 维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐
53,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),https://movie.douban.com/subject/1291828/,9.2,684847,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情
54,大闹天宫 / 大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,9.4,444615,导演: 万籁鸣 Laiming Wan,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆),中国大陆,剧情 动画 奇幻 古装
55,指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现  /  指环王I：护戒使者,https://movie.douban.com/subject/1291571/,9.1,857791,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险
56,黑客帝国 / The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),https://movie.douban.com/subject/1291843/,9.1,847253,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主...,1999,美国,动作 科幻
57,教父2 / The Godfather: Part II / 教父续集(港)  /  教父II,https://movie.douban.com/subject/1299131/,9.3,560335,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1974,美国,剧情 犯罪
58,狮子王 / The Lion King / 狮子王3D,https://movie.douban.com/subject/1301753/,9.1,853715,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,主演: 乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞
59,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),https://movie.douban.com/subject/21937445/,9.2,594380,导演: 杨宇硕 Woo-seok Yang,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情
60,饮食男女 / 飲食男女 / Eat Drink Man Woman,https://movie.douban.com/subject/1291818/,9.2,629031,导演: 李安 Ang Lee,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭
61,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),https://movie.douban.com/subject/1292000/,9.0,855747,导演: 大卫·芬奇 David Fincher,主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚
62,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),https://movie.douban.com/subject/1306029/,9.1,777278,导演: 朗·霍华德 Ron Howard,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情
63,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),https://movie.douban.com/subject/1485260/,9.0,994635,导演: 大卫·芬奇 David Fincher,主演: 凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻
64,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,https://movie.douban.com/subject/3008247/,9.2,573296,导演: 马克·赫尔曼 Mark Herman,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争
65,窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,https://movie.douban.com/subject/1900841/,9.2,570776,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑
66,情书 / Love Letter / When I Close My Eyes  /  Letters of Love,https://movie.douban.com/subject/1292220/,8.9,1128449,导演: 岩井俊二 Shunji Iwai,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情
67,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",https://movie.douban.com/subject/1293350/,9.1,601013,导演: 盖·里奇 Guy Ritchie,主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪
68,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,https://movie.douban.com/subject/1292402/,8.9,985911,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色
69,看不见的客人 / Contratiempo / 死无对证(港)  /  布局(台),https://movie.douban.com/subject/26580232/,8.8,1285890,导演: 奥里奥尔·保罗 Oriol Paulo,主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚
70,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),https://movie.douban.com/subject/1294408/,9.1,609870,导演: 罗伯特·怀斯 Robert Wise,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞
71,阿凡达 / Avatar / ,https://movie.douban.com/subject/1652587/,8.8,1436113,导演: 詹姆斯·卡梅隆 James Cameron,主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险
72,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),https://movie.douban.com/subject/1292849/,9.1,654408,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争
73,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) ,https://movie.douban.com/subject/3011235/,9.0,843472,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险
74,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,https://movie.douban.com/subject/1292224/,9.1,552449,导演: 米洛斯·福尔曼 Miloš Forman,主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情
75,小鞋子 / بچه های آسمان / 天堂的孩子  /  小童鞋,https://movie.douban.com/subject/1303021/,9.2,415916,导演: 马基德·马基迪 Majid Majidi,主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭
76,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,900764,导演: 乔纳森·戴米 Jonathan Demme,主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚
77,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),https://movie.douban.com/subject/11525673/,8.9,949901,导演: 韦斯·安德森 Wes Anderson,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险
78,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),https://movie.douban.com/subject/2334904/,8.9,990356,导演: Martin Scorsese,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚
79,功夫 / 功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,8.8,1150868,导演: 周星驰 Stephen Chow,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
80,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,949709,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
81,致命魔术 / The Prestige / 死亡魔法(港)  /  顶尖对决(台),https://movie.douban.com/subject/1780330/,8.9,871413,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚
82,哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban / 哈利波特3：阿兹卡班的逃犯(港 / 台) ,https://movie.douban.com/subject/1291544/,8.9,743329,导演: Alfonso Cuarón,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险
83,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,https://movie.douban.com/subject/1292656/,8.9,723023,导演: 格斯·范·桑特 Gus Van Sant,主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情
84,超脱 / Detachment / 人间师格(台),https://movie.douban.com/subject/5322596/,9.0,612180,导演: 托尼·凯耶 Tony Kaye,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情
85,海豚湾 / The Cove / 血色海湾(台)  /  海湾,https://movie.douban.com/subject/3442220/,9.3,359802,导演: 路易·西霍尤斯 Louie Psihoyos,主演: 路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片
86,低俗小说 / Pulp Fiction / 危险人物(港)  /  黑色追缉令(台),https://movie.douban.com/subject/1291832/,8.9,843242,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪
87,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,https://movie.douban.com/subject/1292679/,9.0,639440,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性
88,摩登时代 / Modern Times / The Masses  /  Les Temps modernes,https://movie.douban.com/subject/1294371/,9.3,305339,导演: 查理·卓别林 Charles Chaplin,主演: 查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情
89,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),https://movie.douban.com/subject/1292262/,9.2,416792,导演: 赛尔乔·莱翁内 Sergio Leone,主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情
90,喜剧之王 / 喜劇之王 / King of Comedy,https://movie.douban.com/subject/1302425/,8.8,981492,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情
91,致命ID / Identity / 杀人游戏  /  致命身份,https://movie.douban.com/subject/1297192/,8.9,836179,导演: 詹姆斯·曼高德 James Mangold,主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚
92,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,https://movie.douban.com/subject/1300299/,8.9,724632,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
93,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,https://movie.douban.com/subject/1292223/,8.8,951882,导演: 大卫·芬奇 David Fincher,主演: 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚
94,红辣椒 / パプリカ / 盗梦侦探(港 / 台) ,https://movie.douban.com/subject/1865703/,9.1,472729,导演: 今敏 Satoshi Kon,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚
95,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),https://movie.douban.com/subject/1298070/,8.8,869237,导演: 戈尔·维宾斯基 Gore Verbinski,主演: 约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻
96,哈利·波特与密室 / Harry Potter and the Chamber of Secrets / 哈利波特2：消失的密室(港 / 台) ,https://movie.douban.com/subject/1296996/,8.9,770595,导演: Chris Columbus,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险
97,一一 / Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,9.1,401132,导演: 杨德昌 Edward Yang,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭
98,狩猎 / Jagten / 诬网(港)  /  谎言的烙印(台),https://movie.douban.com/subject/6985810/,9.1,397508,导演: 托马斯·温特伯格 Thomas Vinterberg,主演: 麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情
99,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,https://movie.douban.com/subject/1306249/,8.7,1093114,导演: 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装
100,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,https://movie.douban.com/subject/10777687/,8.9,563550,导演: 李焕庆 Hwan-kyeong Lee,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭
101,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),https://movie.douban.com/subject/1787291/,8.9,709986,导演: 中岛哲也 Tetsuya Nakashima,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞
