,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
134,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司",https://movie.douban.com/subject/1291579/,8.8,681361,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演: 约...,2001,美国,儿童 喜剧 动画 奇幻 冒险
135,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,https://movie.douban.com/subject/5989818/,8.9,546257,导演: 大森贵弘 Takahiro Omori,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻
136,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,https://movie.douban.com/subject/1418200/,8.7,811211,导演: 乔·怀特 Joe Wright,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情
137,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,https://movie.douban.com/subject/1858711/,8.9,524545,导演: 李·昂克里奇 Lee Unkrich,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险
138,新世界 / 신세계 / 暗黑新世界(台)  /  New World,https://movie.douban.com/subject/10437779/,8.9,443650,导演: 朴勋政 Hoon-jung Park,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪
139,釜山行 / 부산행 / 尸杀列车(港)  /  尸速列车(台),https://movie.douban.com/subject/25986180/,8.6,1212627,导演: 延尚昊 Sang-ho Yeon,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难
140,被解救的姜戈 / Django Unchained / 被解放的姜戈  /  决杀令(台),https://movie.douban.com/subject/6307447/,8.8,616077,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险
141,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),https://movie.douban.com/subject/3287562/,8.7,956935,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,主演: ...,2010,美国 法国,喜剧 动画 冒险
142,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客,https://movie.douban.com/subject/3072124/,9.0,424548,导演: 亚当·艾略特 Adam Elliot,主演: 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画
143,告白 / 自白  /  母亲,https://movie.douban.com/subject/4268598/,8.8,677492,导演: 中岛哲也 Tetsuya Nakashima,主演: 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑
144,茶馆 / The Teahouse,https://movie.douban.com/subject/1461403/,9.6,151283,导演: 谢添 Tian Xie,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史
145,哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,https://movie.douban.com/subject/1307315/,9.2,263275,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,主演: 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻
146,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),https://movie.douban.com/subject/1291545/,8.8,573528,导演: 蒂姆·波顿 Tim Burton,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 家庭 奇幻 冒险
147,九品芝麻官 / 九品芝麻官之白面包青天  /  Hail the Judge,https://movie.douban.com/subject/1297518/,8.7,690237,导演: 王晶 Jing Wong,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港 中国大陆,剧情 喜剧 古装
148,喜宴 / 囍宴 / The Wedding Banquet,https://movie.douban.com/subject/1303037/,9.0,368345,导演: 李安 Ang Lee,主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
149,模仿游戏 / The Imitation Game / 解码游戏(港)  /  模拟游戏,https://movie.douban.com/subject/10463953/,8.8,654786,导演: 莫滕·泰杜姆 Morten Tyldum,主演: 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性
150,头号玩家 / Ready Player One / 玩家一号  /  挑战者1号(港),https://movie.douban.com/subject/4920389/,8.7,1382076,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险
151,色，戒 / 色|戒  /  色·戒,https://movie.douban.com/subject/1828115/,8.7,821693,导演: 李安 Ang Lee,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
